student_id,gender,category,age,hostel_status,commute_distance_km,family_income_slab,income_slab_idx,is_first_generation,has_scholarship,fee_payment_delay_days,att_core1,att_core2,att_lab,att_elective,attendance_month_1,attendance_month_2,attendance_month_3,attendance_percentage,attendance_3m_trend,consecutive_absences,attendance_risk_flag,prev_sem_cgpa,current_cgpa,cgpa_delta,backlog_count,internal_exam_score_pct,stem_core_fail_flag,lms_logins_per_week,assignment_submission_lag_days,resource_access_count,days_since_last_lms_activity,forum_participation_count,ground_truth_risk_prob,is_dropout
IND_2026_0001,Female,SC,19.1,Day Scholar,8.7,<2 LPA,0,1,1,0,53.7,53.1,59.5,54.3,43.8,49.9,53.8,49.9,5.02,14,1,8.74,8.29,-0.45,1,77.9,0,6.3,-4.8,37,11,5,0.3739,0
IND_2026_0002,Male,ST,21.3,Hosteler,0.5,5-8 LPA,2,0,0,2,69.3,55.8,71.0,57.7,60.7,58.8,52.0,56.6,-4.36,11,1,7.97,7.14,-0.83,0,65.5,0,7.7,0.3,73,10,3,0.7558,1
IND_2026_0003,Female,ST,20.1,Day Scholar,11.6,2-5 LPA,1,1,1,4,60.8,62.8,70.0,68.8,64.7,59.5,65.1,63.0,0.21,4,1,8.56,8.37,-0.19,0,87.5,0,6.2,-0.8,56,10,4,0.1262,0
IND_2026_0004,Female,OBC,19.7,Hosteler,0.5,>8 LPA,3,0,0,3,76.9,74.1,74.6,60.6,51.3,71.3,82.6,70.8,15.69,3,1,7.07,6.52,-0.55,1,64.9,0,5.4,-1.8,16,10,4,0.1384,0
IND_2026_0005,Male,OBC,20.0,Hosteler,0.5,5-8 LPA,2,1,0,1,57.0,55.3,67.0,46.0,59.4,65.6,60.4,62.0,0.48,9,1,6.94,5.83,-1.11,4,53.4,0,6.9,0.7,50,11,2,0.9367,1
IND_2026_0006,Female,SC,20.4,Day Scholar,10.8,2-5 LPA,1,0,0,14,88.5,86.1,91.1,88.2,97.1,90.5,80.6,88.2,-8.25,2,0,8.51,9.48,0.97,0,86.8,0,9.0,-2.2,112,5,2,0.0186,0
IND_2026_0007,Female,General,20.9,Day Scholar,4.4,5-8 LPA,2,0,0,0,84.5,81.1,84.1,74.2,82.2,82.7,79.1,81.2,-1.57,0,0,8.54,8.87,0.33,0,89.4,0,6.0,0.7,160,8,1,0.0791,0
IND_2026_0008,Female,SC,18.8,Day Scholar,3.1,>8 LPA,3,0,1,1,55.6,51.0,53.5,49.1,42.5,44.2,61.9,50.9,9.71,8,1,9.39,8.64,-0.75,2,82.7,0,8.9,0.6,46,8,2,0.1801,0
IND_2026_0009,Male,OBC,18.7,Hosteler,0.5,2-5 LPA,1,0,0,45,61.7,54.6,59.7,59.0,64.9,63.0,63.1,63.5,-0.87,4,1,7.48,6.96,-0.52,2,65.3,0,7.5,0.5,20,10,1,0.6509,1
IND_2026_0010,Male,General,21.5,Hosteler,0.5,5-8 LPA,2,1,0,4,50.3,44.5,60.8,54.5,50.0,55.3,53.0,53.1,1.5,6,1,7.05,7.16,0.11,2,68.6,0,5.5,0.4,42,10,0,0.6302,1
